file_name,report_name,organisation_description,contributor_details,assessment_content,technology_description,purposes_description,report_date,aiaaic_link,challenge_11,evaluation_11,impact_level_11,challenge_12,evaluation_12,impact_level_12,challenge_13,evaluation_13,impact_level_13,challenge_14,evaluation_14,impact_level_14,challenge_15,evaluation_15,impact_level_15,challenge_16,evaluation_16,impact_level_16,challenge_21,evaluation_21,impact_level_21,challenge_22,evaluation_22,impact_level_22,challenge_23,evaluation_23,impact_level_23,challenge_31,evaluation_31,impact_level_31,challenge_32,evaluation_32,impact_level_32,challenge_41,evaluation_41,impact_level_41,challenge_42,evaluation_42,impact_level_42,challenge_43,evaluation_43,impact_level_43,challenge_44,evaluation_44,impact_level_44,challenge_45,evaluation_45,impact_level_45,challenge_46,evaluation_46,impact_level_46
fria-instance-claude-1.ttl,"3D masks fool payment, airport facial recognition systems","Kneron, an artificial intelligence company, conducted the research","Researchers from Kneron, including CEO Albert Liu",Researchers found that facial recognition technology can be fooled by using 3D-printed masks depicting different people's faces. The test involved visiting public locations and tricking facial recognition terminals into allowing payment or access. The masks were able to fool payment systems and border checkpoints in China and the Netherlands.,"Facial recognition technology used in payment systems, airport security, and transportation hubs",To test the security and reliability of facial recognition systems in public spaces and payment systems,2023-10-10,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/3d-masks-fool-payment-airport-facial-recognition-systems,The AI system does not communicate that a decision/advice or outcome is the result of an algorithmic decision,The facial recognition systems tested did not indicate that they were using AI for identification.,High,"The AI system does not provide percentages or other indication on the degree of likelihood that the outcome is correct/incorrect, prejudicing the user that there is no possibility of error and therefore that the outcome is undoubtedly incriminating",The facial recognition systems tested did not provide confidence scores or error rates.,High,"The AI system produces an outcome that forces a reversal of burden of proof upon the suspect, by presenting itself as an absolute truth, practically depriving the defence of any chance to counter it","The facial recognition systems presented their results as absolute truth, with no apparent way for individuals to contest false positives.",High,There is no explanation of reasons and criteria behind a certain output of the AI system that the user can understand,The facial recognition systems provided no explanation for their decisions.,High,There is no indication of the extent to which the AI system influences the overall decision-making process,The role of facial recognition in the overall security process was not clear.,Medium,There is no set of measures that allow for redress in case of the occurrence of any harm or adverse impact,No information was provided about how individuals could contest or correct false identifications.,High,The AI system targets members of a specific social group,"The facial recognition systems may have biases based on race, age, or other factors, though this was not specifically tested in the reported experiment.",Medium,"There are no mechanisms to flag and correct issues related to bias, discrimination, or poor performance","There are no apparent mechanisms to flag and correct issues related to bias, discrimination, or poor performance in the facial recognition systems tested.",High,The AI system does not consider the diversity and representativeness for specific population or problematic use cases,The vulnerability to 3D masks suggests a lack of consideration for diverse attack scenarios.,High,There is no mechanism to limit the deployment of the AI system to suspected individuals,The facial recognition systems were used on the general public in airports and payment systems.,High,"The data stored, recorded, and produced are not easily accessible to concerned individuals",No information was provided about data access or transparency.,High,There are no mechanisms for the user to exercise control over the processing of personal data,There are no apparent mechanisms for users to exercise control over the processing of their personal data in these facial recognition systems.,Very High,There are no measures to ensure the lawfulness of the processing of personal data,The vulnerability to spoofing attacks raises questions about the legal compliance of these systems.,High,There are no procedures to limit the access to personal data and to the extent and amount necessary for those purposes,The vulnerability to spoofing attacks suggests inadequate data protection measures.,High,"There is no mechanism allowing to comply with the exercise of data subject's rights (access, rectification and erasure of data relating to a specific individual)","There is no apparent mechanism allowing compliance with the exercise of data subject's rights (access, rectification, and erasure of data relating to a specific individual).",High,"There are no specific measures in place to enhance the security of the processing of personal data (via encryption, anonymisation and aggregation)",The vulnerability to spoofing attacks suggests inadequate security measures for the processing of personal data.,Very High,There is no procedure to conduct a data protection impact assessment,There is no apparent procedure to conduct a data protection impact assessment for these facial recognition systems.,High
fria-instance-claude-2.ttl,4 Little Trees (4LT) student emotion recognition,"Find Solution AI Limited, a Hong Kong-based company specializing in education using AI and big data analysis","Viola Lam, founder and CEO of Find Solution AI","4 Little Trees is an AI program that analyzes students' emotions as they learn to help teachers make distance learning more engaging and personalized. It uses facial recognition to identify emotions such as happiness, sadness, anger, surprise, and fear by analyzing facial muscular micro-movements in real-time. The system also monitors students' performance, generates reports, and forecasts grades. However, researchers and digital rights activists have raised concerns about the intrusiveness, potential misuse, and bias of emotion recognition technologies.","Emotion recognition, facial analysis, gesture analysis, and computer vision technology","To identify and monitor emotions of students during learning, aiming to improve engagement and personalize education",2023-10-10,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/4-little-trees-4lt,The AI system does not communicate that a decision/advice or outcome is the result of an algorithmic decision,4 Little Trees does not explicitly communicate to students that their emotions and performance are being analyzed by an AI system.,High,"The AI system does not provide percentages or other indication on the degree of likelihood that the outcome is correct/incorrect, prejudicing the user that there is no possibility of error and therefore that the outcome is undoubtedly incriminating","While the company claims 85% accuracy in emotion recognition, it's unclear if this information is communicated to users, potentially leading to overconfidence in the system's assessments.",High,"The AI system produces an outcome that forces a reversal of burden of proof upon the suspect, by presenting itself as an absolute truth, practically depriving the defence of any chance to counter it","The system's emotion recognition and performance predictions may be presented as factual, potentially influencing teachers' perceptions of students without clear means for students to contest these assessments.",Very High,There is no explanation of reasons and criteria behind a certain output of the AI system that the user can understand,The system does not provide clear explanations to students or teachers about how it arrives at its emotional assessments or performance predictions.,High,There is no indication of the extent to which the AI system influences the overall decision-making process,It's not clear how much weight teachers give to the AI system's assessments in their overall evaluation of students.,Medium,There is no set of measures that allow for redress in case of the occurrence of any harm or adverse impact,There's no information about mechanisms for students or parents to challenge or seek redress for potentially harmful or inaccurate assessments made by the system.,High,The AI system targets members of a specific social group,"The system has been primarily trained on and used with Chinese students in Hong Kong, raising concerns about its applicability and potential bias when used with more diverse populations.",High,"There are no mechanisms to flag and correct issues related to bias, discrimination, or poor performance","There's no information about mechanisms to identify or correct potential biases or discrimination in the system's assessments, particularly for students from diverse backgrounds.",High,The AI system does not consider the diversity and representativeness for specific population or problematic use cases,The system's training primarily on Chinese faces may not adequately represent the diversity of emotional expressions across different cultures and ethnicities.,High,There is no mechanism to limit the deployment of the AI system to suspected individuals,"The system is deployed to monitor all students in participating schools, raising privacy concerns about the widespread surveillance of children's emotions and behaviors.",Very High,"The data stored, recorded, and produced are not easily accessible to concerned individuals",It's unclear whether students and parents have access to the emotional and performance data collected and analyzed by the system.,High,There are no mechanisms for the user to exercise control over the processing of personal data,It's unclear whether students or parents have any control over the collection and processing of their emotional and performance data by the 4 Little Trees system.,High,There are no measures to ensure the lawfulness of the processing of personal data,"There's limited information about the legal framework under which this data is collected and processed, particularly concerning the privacy rights of minors.",High,There are no procedures to limit the access to personal data and to the extent and amount necessary for those purposes,There's no clear information about how access to students' emotional and performance data is restricted or limited to only necessary parties.,High,"There is no mechanism allowing to comply with the exercise of data subject's rights (access, rectification and erasure of data relating to a specific individual)","It's not clear if there are mechanisms in place for students or parents to access, correct, or request deletion of their data collected by the 4 Little Trees system.",High,"There are no specific measures in place to enhance the security of the processing of personal data (via encryption, anonymisation and aggregation)","While the company claims it doesn't record video of students' faces, there's limited information about the security measures in place to protect the collected facial muscle data and performance information.",High,There is no procedure to conduct a data protection impact assessment,"There's no information about whether a data protection impact assessment has been conducted for the 4 Little Trees system, despite its processing of sensitive data from minors.",High
fria-instance-claude-3.ttl,7-Eleven customer survey facial recognition,"7-Eleven, a chain store operating in Australia","Office of the Australian Information Commissioner (OAIC), Angelene Falk (Australian Information Commissioner and Privacy Commissioner)","7-Eleven breached customer privacy in 700 stores between June 2020 and August 2021 by collecting facial imagery without consent. The company used tablets with built-in cameras to capture facial images of customers completing surveys, converting these into faceprints for comparison and demographic profiling. The OAIC ruled that this collection was not reasonably necessary and failed to provide adequate information about data use and storage.","Facial recognition technology, facial image capture, faceprint generation, and demographic profiling",To validate survey responses and understand demographic profiles of customers,2023-10-10,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/7-eleven-customer-survey-facial-recognition,The AI system does not communicate that a decision/advice or outcome is the result of an algorithmic decision,7-Eleven did not adequately inform customers that their facial images were being captured and processed by an AI system for survey validation and demographic profiling.,High,"The AI system does not provide percentages or other indication on the degree of likelihood that the outcome is correct/incorrect, prejudicing the user that there is no possibility of error and therefore that the outcome is undoubtedly incriminating",There was no information provided about the accuracy of the facial recognition system or the possibility of errors in demographic profiling or survey response validation.,Medium,"The AI system produces an outcome that forces a reversal of burden of proof upon the suspect, by presenting itself as an absolute truth, practically depriving the defence of any chance to counter it",The system's use for validating survey responses could potentially lead to genuine responses being discarded without the customer's knowledge or ability to contest the decision.,Medium,There is no explanation of reasons and criteria behind a certain output of the AI system that the user can understand,7-Eleven did not provide explanations to customers about how their facial images were being used to validate surveys or generate demographic profiles.,High,There is no indication of the extent to which the AI system influences the overall decision-making process,The extent to which the facial recognition system influenced 7-Eleven's decision-making processes regarding customer feedback and demographic analysis was not disclosed.,Medium,There is no set of measures that allow for redress in case of the occurrence of any harm or adverse impact,There were no apparent measures in place for customers to seek redress if they were adversely affected by the facial recognition system's decisions.,High,The AI system targets members of a specific social group,"While not explicitly targeting specific groups, the use of facial recognition for demographic profiling could potentially lead to biased or discriminatory outcomes.",Medium,"There are no mechanisms to flag and correct issues related to bias, discrimination, or poor performance",There was no information provided about mechanisms to identify or correct potential biases or discrimination in the facial recognition system's demographic profiling.,High,The AI system does not consider the diversity and representativeness for specific population or problematic use cases,The facial recognition system's ability to accurately represent the diversity of 7-Eleven's customer base in its demographic profiling was not addressed.,Medium,There is no mechanism to limit the deployment of the AI system to suspected individuals,"The facial recognition system was deployed to all customers completing surveys, without any mechanism to limit its use to specific individuals or circumstances.",High,"The data stored, recorded, and produced are not easily accessible to concerned individuals","Customers were not provided with access to their facial images or faceprints collected by the system, nor were they informed about how to access this data.",Very High,There are no mechanisms for the user to exercise control over the processing of personal data,"Customers were not provided with mechanisms to control the collection, processing, or deletion of their facial data.",Very High,There are no measures to ensure the lawfulness of the processing of personal data,"The OAIC found that 7-Eleven's collection and processing of facial data was not lawful under Australian privacy laws, as it was not reasonably necessary for the company's functions.",Very High,There are no procedures to limit the access to personal data and to the extent and amount necessary for those purposes,There was no information provided about procedures to limit access to the collected facial data or ensure it was only used for the stated purposes.,High,"There is no mechanism allowing to comply with the exercise of data subject's rights (access, rectification and erasure of data relating to a specific individual)","7-Eleven did not provide mechanisms for customers to access, rectify, or request erasure of their facial data collected during the survey process.",Very High,"There are no specific measures in place to enhance the security of the processing of personal data (via encryption, anonymisation and aggregation)","While 7-Eleven claimed to use 'biometric blurring' and encrypted algorithmic representations, the OAIC found that these measures were insufficient to protect customers' sensitive biometric information.",High,There is no procedure to conduct a data protection impact assessment,There was no evidence that 7-Eleven conducted a data protection impact assessment before implementing the facial recognition system for customer surveys.,High
fria-instance-claude-4.ttl,Aadhaar COVID-19 facial recognition marginalisation,"Indian government, National Health Authority","RS Sharma, head of India's National Health Authority; Anushka Jain, associate counsel at the Internet Freedom Foundation","The Indian government plans to use facial recognition integrated with the Aadhaar biometric ID system for COVID-19 vaccination processes. This raises concerns about marginalizing vulnerable populations without mobile phones or internet access, potential misidentification, and privacy issues. The system is being tested in Jharkhand state and may be rolled out nationwide if successful.",Facial recognition technology integrated with Aadhaar biometric ID system,To verify identity for COVID-19 vaccination process and create a 'touchless' vaccination procedure,2023-10-10,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/aadhaar-covid-19-facial-recognition,The AI system does not communicate that a decision/advice or outcome is the result of an algorithmic decision,The facial recognition system for vaccination does not explicitly communicate to individuals that their identity verification is the result of an AI-driven process.,High,"The AI system does not provide percentages or other indication on the degree of likelihood that the outcome is correct/incorrect, prejudicing the user that there is no possibility of error and therefore that the outcome is undoubtedly incriminating","There is no information about the system providing accuracy rates or confidence levels for its facial recognition matches, which could lead to unquestioned acceptance of potentially incorrect identifications.",High,"The AI system produces an outcome that forces a reversal of burden of proof upon the suspect, by presenting itself as an absolute truth, practically depriving the defence of any chance to counter it","If the facial recognition system misidentifies an individual or fails to recognize them, the burden may fall on the individual to prove their identity through alternative means, potentially depriving them of vaccination.",Very High,,,,,,,,,,The AI system targets members of a specific social group,"The system may disproportionately affect vulnerable populations without access to mobile phones, internet, or Aadhaar IDs, potentially excluding them from the vaccination process.",Very High,"There are no mechanisms to flag and correct issues related to bias, discrimination, or poor performance","There is no information about mechanisms to identify or correct potential biases or errors in the facial recognition system, particularly for diverse populations.",High,,,,There is no mechanism to limit the deployment of the AI system to suspected individuals,"The facial recognition system is being deployed for all individuals seeking vaccination, not limited to specific cases where identity verification is problematic.",High,,,,There are no mechanisms for the user to exercise control over the processing of personal data,There is no information about individuals being able to opt out of facial recognition or control how their biometric data is processed for vaccination purposes.,Very High,There are no measures to ensure the lawfulness of the processing of personal data,"The legal basis for using facial recognition for COVID-19 vaccination is unclear, raising concerns about the lawfulness of processing sensitive biometric data.",High,,,,,,,"There are no specific measures in place to enhance the security of the processing of personal data (via encryption, anonymisation and aggregation)",There is no information about specific security measures to protect the biometric data collected and processed during the vaccination process.,High,There is no procedure to conduct a data protection impact assessment,"There is no mention of a data protection impact assessment being conducted before implementing the facial recognition system for COVID-19 vaccinations, despite the sensitive nature of the biometric data being processed.",High
fria-instance-claude-5.ttl,Aadhaar glitches result in villagers' starvation,"Indian government, Unique Identification Authority of India (UIDAI)","Jean Dreze, economist and activist; Right to Food Campaign","Technical problems with India's Aadhaar biometric ID system have resulted in the deaths of scores of villagers in Jharkhand state and elsewhere, with some committing suicide and others suffering severe malnutrition. Glitches have meant that villagers have been unable to get food rations or subsidised grain, sometimes without explanation. Some groups, including vulnerable minority groups such as the Parhaiya, have been denied their legal entitlement of subsidised grain for failing to correctly link their ration cards with Aadhaar.","Aadhaar biometric ID system, fingerprint authentication",To reduce welfare fraud and ensure efficient distribution of subsidies and rations,2023-10-10,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/aadhaar-glitch-results-in-villagers-starvation,The AI system does not communicate that a decision/advice or outcome is the result of an algorithmic decision,The Aadhaar system does not explicitly communicate to beneficiaries that their access to rations is being determined by an algorithmic decision based on biometric authentication.,Very High,"The AI system does not provide percentages or other indication on the degree of likelihood that the outcome is correct/incorrect, prejudicing the user that there is no possibility of error and therefore that the outcome is undoubtedly incriminating","The Aadhaar system does not provide any indication of the likelihood of errors in biometric authentication, leading to absolute denial of rations without consideration of potential system errors.",Very High,"The AI system produces an outcome that forces a reversal of burden of proof upon the suspect, by presenting itself as an absolute truth, practically depriving the defence of any chance to counter it","When Aadhaar authentication fails, the burden of proof falls on the beneficiaries to prove their identity and eligibility, often requiring multiple trips to government offices and sometimes even bribes.",Very High,There is no explanation of reasons and criteria behind a certain output of the AI system that the user can understand,"Beneficiaries are often not given clear explanations for why their authentication failed or why their rations were denied, leading to confusion and inability to address the issue.",High,There is no indication of the extent to which the AI system influences the overall decision-making process,The extent to which Aadhaar authentication influences the overall decision to grant or deny rations is not clearly communicated to beneficiaries.,High,There is no set of measures that allow for redress in case of the occurrence of any harm or adverse impact,"There appears to be no clear, accessible redress mechanism for beneficiaries who are wrongly denied rations due to Aadhaar authentication failures.",Very High,The AI system targets members of a specific social group,"The system disproportionately affects vulnerable and marginalized groups, such as the Parhaiya tribe, who may have more difficulty with Aadhaar enrollment and authentication.",Very High,"There are no mechanisms to flag and correct issues related to bias, discrimination, or poor performance",There appears to be no systematic mechanism to identify and address issues of bias or poor performance in the Aadhaar authentication system for ration distribution.,High,The AI system does not consider the diversity and representativeness for specific population or problematic use cases,"The Aadhaar system does not adequately account for diverse populations, such as manual laborers with worn fingerprints or elderly individuals with changing biometrics.",High,There is no mechanism to limit the deployment of the AI system to suspected individuals,"The Aadhaar authentication system is applied universally to all beneficiaries, rather than being limited to cases where fraud is suspected.",High,,,,There are no mechanisms for the user to exercise control over the processing of personal data,Beneficiaries have little to no control over how their biometric data is processed or used within the Aadhaar system.,High,,,,,,,,,,"There are no specific measures in place to enhance the security of the processing of personal data (via encryption, anonymisation and aggregation)","The report does not mention specific security measures for protecting biometric data in the Aadhaar system, raising concerns about data security and privacy.",High,There is no procedure to conduct a data protection impact assessment,"There is no mention of a data protection impact assessment being conducted for the Aadhaar system's use in ration distribution, despite its significant impact on vulnerable populations.",High
fria-instance-claude-6.ttl,AccessiBe automated web accessibility,"AccessiBe, an Israel-based web accessibility start-up","Eyebobs (eyewear retailer), blind customers, accessibility advocates","AccessiBe claims to make websites more accessible for people with disabilities using automated AI technology. However, many blind users and accessibility advocates report that the software actually makes websites harder to navigate with screen readers. Eyebobs, a company using AccessiBe, settled a lawsuit with a customer over accessibility issues.","Web accessibility overlay, automated AI technology for website accessibility",To improve website accessibility for people with disabilities and help companies comply with accessibility regulations,2023-10-10,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/accessibe-automated-accessibility,The AI system does not communicate that a decision/advice or outcome is the result of an algorithmic decision,"AccessiBe does not clearly communicate to users that the website's accessibility features are being provided by an AI-powered overlay, which may lead to confusion when issues arise.",High,"The AI system does not provide percentages or other indication on the degree of likelihood that the outcome is correct/incorrect, prejudicing the user that there is no possibility of error and therefore that the outcome is undoubtedly incriminating","AccessiBe does not provide information about the accuracy or reliability of its automated accessibility fixes, potentially leading users and website owners to believe the system is infallible.",High,"The AI system produces an outcome that forces a reversal of burden of proof upon the suspect, by presenting itself as an absolute truth, practically depriving the defence of any chance to counter it","AccessiBe's marketing claims of full ADA compliance may lead website owners to believe they are protected from lawsuits, potentially shifting the burden of proof to users experiencing accessibility issues.",Very High,There is no explanation of reasons and criteria behind a certain output of the AI system that the user can understand,"AccessiBe does not provide clear explanations for how it determines and implements accessibility fixes, making it difficult for users to understand and troubleshoot issues.",High,There is no indication of the extent to which the AI system influences the overall decision-making process,"It's unclear how much of a website's accessibility is determined by AccessiBe's AI versus the site's original code, making it difficult to assess the system's impact.",Medium,There is no set of measures that allow for redress in case of the occurrence of any harm or adverse impact,"There appears to be no clear process for users to report and address accessibility issues caused by AccessiBe's overlay, leaving them without recourse when problems occur.",High,The AI system targets members of a specific social group,"While intended to help people with disabilities, AccessiBe's system may disproportionately impact blind users who rely on screen readers, potentially creating new barriers for this group.",High,"There are no mechanisms to flag and correct issues related to bias, discrimination, or poor performance","There appears to be no clear mechanism for users to report and have corrected accessibility issues caused by AccessiBe's overlay, despite numerous reports of problems.",High,,,,There is no mechanism to limit the deployment of the AI system to suspected individuals,"AccessiBe's overlay is applied universally to all users of a website, potentially causing issues for users who don't need or want the additional layer of accessibility features.",Medium,,,,There are no mechanisms for the user to exercise control over the processing of personal data,"It's unclear whether users have control over how AccessiBe processes their data, including information about their use of assistive technologies.",High,,,,,,,,,,"There are no specific measures in place to enhance the security of the processing of personal data (via encryption, anonymisation and aggregation)","The report doesn't mention specific security measures for protecting user data processed by AccessiBe's overlay, raising potential privacy concerns.",Medium,There is no procedure to conduct a data protection impact assessment,"There's no mention of AccessiBe conducting data protection impact assessments, despite the system processing potentially sensitive information about users' disabilities.",High
fria-instance-claude-7.ttl,Adobe Creative Cloud content analysis,"Adobe, a multinational computer software company","Adobe customers, graphic designers, artists","Adobe Creative Cloud appears to be automatically analyzing customer content stored on Creative Cloud to train its AI algorithms, unless users opt-out. This discovery sparked concerns among users about privacy, intellectual property, and potential job displacement.","Machine learning, pattern recognition, object recognition applied to user-generated content in Creative Cloud","To improve Adobe's products and services, and provide product features",2023-10-10,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/adobe-creative-cloud-content-analysis,The AI system does not communicate that a decision/advice or outcome is the result of an algorithmic decision,"Adobe did not clearly communicate to users that their content was being analyzed by AI algorithms, leading to surprise and concern when the practice was discovered.",High,"The AI system does not provide percentages or other indication on the degree of likelihood that the outcome is correct/incorrect, prejudicing the user that there is no possibility of error and therefore that the outcome is undoubtedly incriminating",There is no information about Adobe providing accuracy metrics or error rates for its AI-powered features derived from user content analysis.,Medium,"The AI system produces an outcome that forces a reversal of burden of proof upon the suspect, by presenting itself as an absolute truth, practically depriving the defence of any chance to counter it","While not directly applicable, Adobe's use of user content for AI training without explicit consent shifts the burden to users to prove they didn't agree to such use.",Medium,,,,,,,,,,The AI system targets members of a specific social group,"The system potentially affects all Adobe Creative Cloud users, but may disproportionately impact professional artists and designers who rely on the platform for their work.",Medium,,,,,,,There is no mechanism to limit the deployment of the AI system to suspected individuals,"The content analysis appears to be applied to all users by default, with an opt-out mechanism rather than a targeted or opt-in approach.",High,,,,There are no mechanisms for the user to exercise control over the processing of personal data,"While users can opt-out of content analysis, there appears to be limited control over how their data is processed if they remain opted-in.",High,,,,,,,,,,"There are no specific measures in place to enhance the security of the processing of personal data (via encryption, anonymisation and aggregation)","The report does not mention specific security measures for protecting user content during the analysis process, raising concerns about data privacy and security.",High,There is no procedure to conduct a data protection impact assessment,"There is no mention of Adobe conducting a data protection impact assessment for its content analysis practices, despite the potential privacy implications.",High
fria-instance-claude-8.ttl,Adobe Firefly AI art generator training,"Adobe, a multinational computer software company","Adobe Stock contributors, artists, photographers","Adobe has faced criticism for training its Firefly AI art generator on Adobe Stock images without explicitly informing or seeking consent from contributors. While Adobe claims the model is 'safe for commercial use' and offers indemnity from copyright claims, contributors argue this use of their IP is unethical and may threaten their livelihoods.","Machine learning, pattern recognition, object recognition applied to Adobe Stock images for generative AI","To generate images and videos for commercial use, improving Adobe's products and services",2023-10-10,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/adobe-firefly-ai-art-generator,The AI system does not communicate that a decision/advice or outcome is the result of an algorithmic decision,"Adobe did not clearly communicate to Adobe Stock contributors that their content was being used to train the Firefly AI model, leading to surprise and concern when the practice was discovered.",High,"The AI system does not provide percentages or other indication on the degree of likelihood that the outcome is correct/incorrect, prejudicing the user that there is no possibility of error and therefore that the outcome is undoubtedly incriminating","There is no information about Adobe providing accuracy metrics or error rates for Firefly's generated content, which could lead to overconfidence in its outputs.",Medium,"The AI system produces an outcome that forces a reversal of burden of proof upon the suspect, by presenting itself as an absolute truth, practically depriving the defence of any chance to counter it","Adobe's claim of Firefly being 'safe for commercial use' and offering indemnity shifts the burden of proof to artists claiming copyright infringement, potentially making it difficult for them to defend their rights.",High,,,,,,,,,,The AI system targets members of a specific social group,"The system potentially affects all Adobe Stock contributors, but may disproportionately impact professional artists and photographers who rely on stock image sales for their livelihood.",High,,,,,,,There is no mechanism to limit the deployment of the AI system to suspected individuals,The Firefly model appears to be trained on all eligible Adobe Stock content without a clear opt-out mechanism for contributors.,High,,,,There are no mechanisms for the user to exercise control over the processing of personal data,"Adobe Stock contributors have limited control over how their content is used in the Firefly AI model, with no clear opt-out option provided.",Very High,,,,,,,,,,"There are no specific measures in place to enhance the security of the processing of personal data (via encryption, anonymisation and aggregation)","While Adobe claims to use content credentials metadata tags for generated images, there's limited information about specific security measures to protect contributor content during the AI training process.",Medium,There is no procedure to conduct a data protection impact assessment,"There is no mention of Adobe conducting a data protection impact assessment for its use of Adobe Stock content in training Firefly, despite the potential impact on contributors' rights and livelihoods.",High
fria-instance-claude-9.ttl,Adobe Sensei Project Morpheus,"Adobe, a multinational computer software company",Adobe research labs and engineering teams,"Adobe unveiled Project Morpheus, a prototype video editing tool that allows users to alter someone's age, facial expressions, facial hair, and glasses in videos. While it showcases advanced AI capabilities, it raises concerns about the potential for creating deepfake videos that could be used maliciously.","Deepfake technology, video manipulation, generative adversarial networks (GANs), neural networks, deep learning, machine learning","To manipulate video content for creative purposes, but with potential dual-use implications",2023-10-10,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/adobe-sensei-project-morpheus,The AI system does not communicate that a decision/advice or outcome is the result of an algorithmic decision,"Project Morpheus may not clearly indicate when a video has been algorithmically altered, potentially misleading viewers about the authenticity of the content.",High,"The AI system does not provide percentages or other indication on the degree of likelihood that the outcome is correct/incorrect, prejudicing the user that there is no possibility of error and therefore that the outcome is undoubtedly incriminating","There is no mention of Project Morpheus providing confidence levels or error rates for its video manipulations, which could lead to overconfidence in the altered content's realism.",Medium,"The AI system produces an outcome that forces a reversal of burden of proof upon the suspect, by presenting itself as an absolute truth, practically depriving the defence of any chance to counter it","The realistic nature of Project Morpheus's video manipulations could make it difficult for individuals to prove that a video of them has been altered, potentially shifting the burden of proof onto the subject of the video.",Very High,,,,,,,,,,The AI system targets members of a specific social group,"While not targeting a specific group, Project Morpheus could potentially be misused to create misleading or damaging content about individuals or groups, particularly public figures or marginalized communities.",High,,,,,,,There is no mechanism to limit the deployment of the AI system to suspected individuals,"Project Morpheus, as described, does not appear to have mechanisms to limit its use to specific individuals or purposes, potentially allowing for widespread misuse.",High,,,,There are no mechanisms for the user to exercise control over the processing of personal data,There is no mention of mechanisms for individuals to control or consent to the use of their likeness in videos manipulated by Project Morpheus.,Very High,,,,,,,,,,"There are no specific measures in place to enhance the security of the processing of personal data (via encryption, anonymisation and aggregation)",The report does not mention any specific security measures to protect the personal data of individuals whose likenesses are manipulated by Project Morpheus.,High,There is no procedure to conduct a data protection impact assessment,"There is no mention of Adobe conducting a data protection impact assessment for Project Morpheus, despite its potential for significant privacy and ethical implications.",High
fria-instance-claude-10.ttl,"Aespa virtual K-pop anthropomorphism, sexualisation","SM Entertainment, a major Korean entertainment company","SM Entertainment, Aespa members (human and virtual)","SM Entertainment announced Aespa, a K-pop girl group including both human and virtual members with AI brains that can interact independently. This raised concerns about the potential for dehumanization, sexualization, and unethical manipulation of the virtual avatars.","Deepfake technology for image and video, AI for virtual avatar interaction","To create virtual avatars for K-pop idols, enabling new forms of interaction and performance",2023-10-10,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/aespa-virtual-k-pop,The AI system does not communicate that a decision/advice or outcome is the result of an algorithmic decision,"It's unclear whether interactions with Aespa's virtual members will be clearly identified as AI-generated, potentially misleading fans about the nature of their relationship with the avatars.",High,"The AI system does not provide percentages or other indication on the degree of likelihood that the outcome is correct/incorrect, prejudicing the user that there is no possibility of error and therefore that the outcome is undoubtedly incriminating","There is no mention of the AI system providing accuracy metrics or error rates for its interactions, which could lead to overconfidence in the authenticity of the virtual members' behaviors.",Medium,"The AI system produces an outcome that forces a reversal of burden of proof upon the suspect, by presenting itself as an absolute truth, practically depriving the defence of any chance to counter it","The realistic nature of the virtual members could make it difficult for the human members to dispute any actions or statements attributed to their virtual counterparts, potentially compromising their agency and reputation.",High,,,,,,,,,,The AI system targets members of a specific social group,"The system specifically targets young female K-pop idols, raising concerns about the potential for objectification and exploitation of this demographic.",Very High,,,,,,,There is no mechanism to limit the deployment of the AI system to suspected individuals,"The virtual members are designed to interact with fans broadly, without clear limitations on who can access or engage with them, potentially exposing vulnerable users to risks.",High,,,,There are no mechanisms for the user to exercise control over the processing of personal data,There is no mention of mechanisms for the human Aespa members or fans to control how their personal data or likeness is used in the creation and operation of the virtual members.,Very High,,,,,,,,,,"There are no specific measures in place to enhance the security of the processing of personal data (via encryption, anonymisation and aggregation)",The report does not mention any specific security measures to protect the personal data of the human Aespa members or fans interacting with the virtual members.,High,There is no procedure to conduct a data protection impact assessment,"There is no mention of SM Entertainment conducting a data protection impact assessment for the Aespa virtual member system, despite its potential for significant privacy and ethical implications.",High
