file_name,report_name,organisation_description,contributor_details,assessment_content,technology_description,purposes_description,report_date,aiaaic_link,challenge_11,evaluation_11,impact_level_11,challenge_12,evaluation_12,impact_level_12,challenge_13,evaluation_13,impact_level_13,challenge_14,evaluation_14,impact_level_14,challenge_15,evaluation_15,impact_level_15,challenge_16,evaluation_16,impact_level_16,challenge_21,evaluation_21,impact_level_21,challenge_22,evaluation_22,impact_level_22,challenge_23,evaluation_23,impact_level_23,challenge_31,evaluation_31,impact_level_31,challenge_32,evaluation_32,impact_level_32,challenge_41,evaluation_41,impact_level_41,challenge_42,evaluation_42,impact_level_42,challenge_43,evaluation_43,impact_level_43,challenge_44,evaluation_44,impact_level_44,challenge_45,evaluation_45,impact_level_45,challenge_46,evaluation_46,impact_level_46
fria-instance-gpt-1.ttl,"3D masks fool payment, airport facial recognition systems",,AI development company Kneron,"Researchers in China have found that facial recognition technology can be fooled by using a 3D-printed mask depicting a different person's face, raising questions about the security of the technology.","The AI system uses facial recognition technology at public transport portals, point of sales terminals, airport security checkpoints, and on mobile devices.",Test facial recognition; Security; Accuracy/reliability,2021-05-01,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/3d-masks-fool-payment-airport-facial-recognition-systems,The AI system does not communicate that a decision/advice or outcome is the result of an algorithmic decision.,"The system's lack of transparency regarding algorithmic decisions means users are unaware that their identities are being verified by AI, which can lead to security vulnerabilities.",High,,,,,,,,,,,,,,,,The AI system targets members of a specific social group.,"Facial recognition systems may exhibit biases, leading to differential treatment of individuals based on race or ethnicity.",Medium,,,,,,,There is no mechanism to limit the deployment of the AI system to suspected individuals.,The use of facial recognition at various public checkpoints without consent leads to arbitrary interference with privacy.,High,"The data stored, recorded, and produced are not easily accessible to concerned individuals.","Users do not have access to their biometric data, limiting their ability to control their personal information.",Medium,There are no mechanisms for the user to exercise control over the processing of personal data.,"Users are unable to control how their facial data is processed, raising significant privacy and data protection concerns.",High,There are no measures to ensure the lawfulness of the processing of personal data.,The collection and processing of biometric data were conducted without sufficient legal justification or compliance with privacy laws.,Medium,There are no procedures to limit the access to personal data and to the extent and amount necessary for those purposes.,The lack of procedures to limit access to biometric data increases the risk of unauthorized access and misuse.,High,"There is no mechanism allowing to comply with the exercise of data subject’s rights (access, rectification and erasure of data relating to a specific individual).","Customers were not provided with means to exercise their data subject rights, such as accessing or correcting their personal data, undermining their control over their own information.",High,"There are no specific measures in place to enhance the security of the processing of personal data (via encryption, anonymisation and aggregation).","The lack of security measures, such as encryption and anonymization, to protect biometric data increases the risk of unauthorized access and misuse.",High,There is no procedure to conduct a data protection impact assessment.,The failure to conduct a data protection impact assessment (DPIA) means that potential risks to data privacy and security were not adequately identified or mitigated.,High
fria-instance-gpt-2.ttl,4 Little Trees (4LT) student emotion recognition,,Find Solution AI,"4 Little Trees, an AI programme that analyses students' emotions as they learn in order to help teachers make distance learning more engaging and personalised, has come under fire from researchers and digital rights activists fearful that emotion recognition technologies tend to be intrusive, can be misused, and may be biased against people with darker skins.",The AI system uses facial recognition and gesture analysis to monitor and identify student emotions by analysing facial muscular micro-movements in real-time.,Identify & monitor emotions; Accuracy/reliability; Privacy; Surveillance; Bias/discrimination - race; ethnicity,2021-05-01,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/4-little-trees-4lt,The AI system does not communicate that a decision/advice or outcome is the result of an algorithmic decision.,The system's lack of transparency regarding algorithmic decisions means students and parents may not be aware that their emotions are being monitored and analyzed by an AI.,High,,,,,,,,,,,,,,,,The AI system targets members of a specific social group.,"The emotion recognition technology may have biases against people with darker skins, leading to unfair treatment and discrimination.",High,"There are no mechanisms to flag and correct issues related to bias, discrimination, or poor performance.","The system lacks mechanisms to detect and correct biases, potentially perpetuating discrimination against certain demographic groups.",Medium,,,,There is no mechanism to limit the deployment of the AI system to suspected individuals.,The widespread use of the AI system without proper consent and notification constitutes arbitrary interference with student privacy.,High,"The data stored, recorded, and produced are not easily accessible to concerned individuals.","Students and parents do not have access to the data collected by the system, limiting their ability to control their personal information.",Medium,There are no mechanisms for the user to exercise control over the processing of personal data.,"Students and parents are not provided with options to control or limit the use of their biometric data, compromising their ability to protect their personal information.",High,There are no measures to ensure the lawfulness of the processing of personal data.,The collection and processing of student facial data were conducted without sufficient legal justification or compliance with privacy laws.,Medium,There are no procedures to limit the access to personal data and to the extent and amount necessary for those purposes.,"The absence of procedures to limit access to biometric data means that personal information was potentially accessible to unauthorized individuals, increasing the risk of data breaches.",High,"There is no mechanism allowing to comply with the exercise of data subject’s rights (access, rectification and erasure of data relating to a specific individual).","Customers were not provided with means to exercise their data subject rights, such as accessing or correcting their personal data, undermining their control over their own information.",High,"There are no specific measures in place to enhance the security of the processing of personal data (via encryption, anonymisation and aggregation).","The lack of security measures, such as encryption and anonymization, to protect biometric data increases the risk of unauthorized access and misuse.",High,There is no procedure to conduct a data protection impact assessment.,The failure to conduct a data protection impact assessment (DPIA) means that potential risks to data privacy and security were not adequately identified or mitigated.,High
fria-instance-gpt-3.ttl,7-Eleven customer survey facial recognition,,7-Eleven,"Chain store 7-Eleven breached customer privacy in 700 stores between June 2020 and August 2021 by collecting facial imagery without consent, according to Australia's privacy commissioner the OAIC. The commissioner ruled that 7-Eleven abused customer privacy by collecting and storing their facial images in order to validate a survey it had been conducting into customer needs and to understand their demographic profile.",The AI system used facial recognition technology to validate survey responses by capturing customers' facial images at two points during the survey-taking process.,Validate survey responses; Privacy; Necessity/proportionality,2021-08-31,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/7-eleven-customer-survey-facial-recognition,The AI system does not communicate that a decision/advice or outcome is the result of an algorithmic decision.,7-Eleven did not provide adequate notice to customers that their facial images were being used to validate survey responses. This lack of transparency means that customers were unaware of the AI system's role in the process.,High,"The AI system does not provide percentages or other indication on the degree of likelihood that the outcome is correct/incorrect, prejudicing the user that there is no possibility of error and therefore that the outcome is undoubtedly incriminating.",The lack of transparency in how facial images are processed and used makes it impossible for customers to understand the potential error rates and biases in the system.,Medium,,,,,,,,,,,,,The AI system targets members of a specific social group.,"The system may have inherent biases that disproportionately affect certain demographic groups, particularly minorities, leading to unfair treatment.",High,"There are no mechanisms to flag and correct issues related to bias, discrimination, or poor performance.",The absence of mechanisms to address bias and discrimination means that the system could perpetuate existing inequalities without accountability.,Medium,,,,There is no mechanism to limit the deployment of the AI system to suspected individuals.,The widespread deployment of facial recognition for surveys without consent or sufficient notification constitutes arbitrary interference with customer privacy.,High,"The data stored, recorded, and produced are not easily accessible to concerned individuals.","Customers were not informed about how their data would be used or stored, nor were they given access to their data, limiting transparency and control over personal information.",Medium,There are no mechanisms for the user to exercise control over the processing of personal data.,"Customers were not provided with options to control or limit the use of their biometric data, compromising their ability to protect their personal information.",High,There are no measures to ensure the lawfulness of the processing of personal data.,"The collection and processing of facial images were conducted without sufficient legal justification or compliance with privacy laws, leading to unlawful data processing practices.",Medium,There are no procedures to limit the access to personal data and to the extent and amount necessary for those purposes.,"The absence of procedures to limit access to biometric data means that personal information was potentially accessible to unauthorized individuals, increasing the risk of data breaches.",High,"There is no mechanism allowing to comply with the exercise of data subject’s rights (access, rectification and erasure of data relating to a specific individual).","Customers were not provided with means to exercise their data subject rights, such as accessing or correcting their personal data, undermining their control over their own information.",High,"There are no specific measures in place to enhance the security of the processing of personal data (via encryption, anonymisation and aggregation).","The lack of security measures, such as encryption and anonymization, to protect biometric data increases the risk of unauthorized access and misuse.",High,There is no procedure to conduct a data protection impact assessment.,The failure to conduct a data protection impact assessment (DPIA) means that potential risks to data privacy and security were not adequately identified or mitigated.,High
fria-instance-gpt-4.ttl,Aadhaar COVID-19 facial recognition marginalisation,Plans by the Indian government to use facial recognition integrated within the Aadhaar biometric ID system have raised fears that millions of vulnerable people without mobile phones or internet access will lose out on receiving their COVID-19 vaccinations.,"Reuters, Internet Freedom Foundation","A facial recognition system based on Aadhaar ID is being tested as a 'touchless' vaccination process. Concerns include misidentification, exclusion of vulnerable populations, and privacy violations.",Facial recognition technology integrated with Aadhaar biometric ID system.,Verify identity; Accuracy/reliability; Bias/discrimination; Economic; Security; Privacy,2021-04-15,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/aadhaar-covid-19-facial-recognition,The AI system does not communicate that a decision/advice or outcome is the result of an algorithmic decision.,"The lack of transparency regarding the system's algorithmic decisions leaves vulnerable people unaware of why they may be denied vaccination, contributing to marginalisation and exclusion.",High,,,,,,,,,,,,,,,,The AI system targets members of a specific social group.,"Vulnerable groups, including the homeless and transgender individuals, are disproportionately affected by the reliance on Aadhaar-linked facial recognition, leading to potential denial of vaccines.",High,,,,,,,There is no mechanism to limit the deployment of the AI system to suspected individuals.,The widespread deployment of facial recognition without consent or clear limits raises significant privacy concerns.,High,"The data stored, recorded, and produced are not easily accessible to concerned individuals.","Individuals do not have access to their facial recognition data, making it difficult to contest errors or misidentifications.",High,There are no mechanisms for the user to exercise control over the processing of personal data.,"Users lack control over their biometric data, increasing the risk of unauthorized use and exclusion.",High,There are no measures to ensure the lawfulness of the processing of personal data.,The processing of biometric data without adequate legal safeguards results in privacy violations and unauthorized access.,High,There are no procedures to limit the access to personal data and to the extent and amount necessary for those purposes.,Unlimited access to personal data increases the risk of unauthorized use and further exclusion from services.,High,"There is no mechanism allowing to comply with the exercise of data subject’s rights (access, rectification and erasure of data relating to a specific individual).","Individuals are not provided with means to correct or access their data, leading to ongoing denial of essential services.",High,"There are no security measures to ensure the confidentiality, integrity and availability of personal data (e.g. encryption, anonymization, etc.).","The lack of security measures, such as encryption and anonymization, to protect biometric data increases the risk of unauthorized access and misuse.",High,There is no procedure to conduct a data protection impact assessment.,The failure to conduct a data protection impact assessment (DPIA) means that potential risks to data privacy and security were not adequately identified or mitigated.,High
fria-instance-gpt-5.ttl,Aadhaar glitches result in villagers' starvation,"India's Aadhaar biometric ID system faced technical problems leading to villagers being unable to access food rations or subsidized grain, resulting in starvation and deaths.","Campaigners, The Guardian","Technical problems with India's Aadhaar biometric ID system have resulted in the deaths of scores of villagers in Jharkhand state and elsewhere, with some committing suicide and others suffering severe malnutrition.",Fingerprint biometrics used to reduce welfare fraud.,Reduce welfare fraud; Accuracy/reliability; Robustness,2021-06-30,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/aadhaar-glitch-results-in-villagers-starvation,The AI system does not communicate that a decision/advice or outcome is the result of an algorithmic decision.,"The lack of transparency regarding the system's algorithmic decisions leaves villagers unaware of why they are denied rations, contributing to severe malnutrition and death.",High,,,,,,,,,,,,,,,,The AI system targets members of a specific social group.,"Vulnerable groups such as the Parhaiya are disproportionately affected by the glitches, leading to denial of their legal entitlements and exacerbating their poverty.",High,,,,,,,There is no mechanism to limit the deployment of the AI system to suspected individuals.,The system's mandatory linkage and biometric authentication without sufficient infrastructure result in arbitrary denial of food rations.,High,"The data stored, recorded, and produced are not easily accessible to concerned individuals.","Villagers are unable to access or correct their personal data, which exacerbates their inability to obtain essential services.",High,There are no mechanisms for the user to exercise control over the processing of personal data.,"Users lack control over their biometric data, leading to misidentification and denial of services.",High,There are no measures to ensure the lawfulness of the processing of personal data.,The processing of biometric data without adequate legal safeguards results in exclusion and denial of entitlements.,High,There are no procedures to limit the access to personal data and to the extent and amount necessary for those purposes.,Unlimited access to personal data increases the risk of unauthorized use and further exclusion from services.,High,"There is no mechanism allowing to comply with the exercise of data subject’s rights (access, rectification and erasure of data relating to a specific individual).","Villagers are not provided with means to correct or access their data, leading to ongoing denial of essential services.",High,"There are no specific measures in place to enhance the security of the processing of personal data (e.g. encryption, anonymization, etc.).","The lack of security measures, such as encryption and anonymization, to protect biometric data increases the risk of unauthorized access and misuse.",High,There is no procedure to conduct a data protection impact assessment.,The failure to conduct a data protection impact assessment (DPIA) means that potential risks to data privacy and security were not adequately identified or mitigated.,High
fria-instance-gpt-6.ttl,AccessiBe automated web accessibility,"The use of AccessiBe's automated web accessibility solution by Eyebobs led to a lawsuit due to failure to provide users of its website with equal access, especially for screen readers.","Accessibility advocates, software developers, U.S. Magistrate Judge Richard Lanzillo, NBC News","AccessiBe's solution claims to make websites easier for people with disabilities, but has been criticized for failing to deliver on those promises and potentially causing more harm.",Web accessibility overlay using automated AI technology.,Improve website accessibility; Accuracy/reliability,2021-11-11,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/accessibe-automated-accessibility,The AI system does not communicate that a decision/advice or outcome is the result of an algorithmic decision.,"The lack of transparency regarding the system's algorithmic decisions leads to confusion and dissatisfaction among users, especially those relying on assistive technologies.",High,,,,,,,,,,,,,,,,The AI system targets members of a specific social group.,"The system disproportionately affects users with disabilities, particularly those who rely on screen readers, by failing to provide the promised accessibility improvements.",High,,,,,,,There is no mechanism to limit the deployment of the AI system to suspected individuals.,"The deployment of the system without user consent raises privacy concerns, particularly regarding the detection of assistive technology use and persistent settings across sites.",High,"The data stored, recorded, and produced are not easily accessible to concerned individuals.","Users do not have access to their accessibility settings data, making it difficult to manage or correct issues that arise from the overlay's automated adjustments.",High,There are no mechanisms for the user to exercise control over the processing of personal data.,"Users lack control over how their accessibility data is processed, increasing the risk of unauthorized use and privacy violations.",High,There are no measures to ensure the lawfulness of the processing of personal data.,"The automated accessibility solution processes data without adequate legal safeguards, leading to potential GDPR and CCPA noncompliance.",High,There are no procedures to limit the access to personal data and to the extent and amount necessary for those purposes.,"The overlay solution lacks procedures to restrict access to personal data, resulting in excessive and potentially unauthorized data access.",High,"There is no mechanism allowing to comply with the exercise of data subject’s rights (access, rectification and erasure of data relating to a specific individual).","Individuals are not provided with means to access, rectify, or erase their data, leading to ongoing issues with data management and user dissatisfaction.",High,"There are no security measures to ensure the confidentiality, integrity, and availability of personal data (e.g., encryption, anonymization, etc.).","The lack of security measures, such as encryption and anonymization, to protect biometric data increases the risk of unauthorized access and misuse.",High,There is no procedure to conduct a data protection impact assessment.,The failure to conduct a data protection impact assessment (DPIA) means that potential risks to data privacy and security were not adequately identified or mitigated.,High
fria-instance-gpt-7.ttl,Adobe Creative Cloud content analysis,Adobe's automated content analysis of Creative Cloud files to train AI algorithms raised privacy and employment concerns among users.,"Adobe, Adobe Creative Cloud users, Bloomberg","The use of content analysis in Adobe Creative Cloud has sparked concerns about privacy, data security, and potential job displacement among creatives.","Machine learning, pattern recognition, object recognition.","Improve products, services; Privacy; Confidentiality; Employment",2023-01-13,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/adobe-creative-cloud-content-analysis,The AI system does not communicate that a decision/advice or outcome is the result of an algorithmic decision.,Adobe's lack of transparency about the algorithmic decisions made during content analysis has caused significant user distrust.,High,,,,,,,,,,,,,,,,The AI system targets members of a specific social group.,"The content analysis disproportionately affects creative professionals, raising concerns about job security and the potential replacement of human roles with AI.",High,,,,,,,There is no mechanism to limit the deployment of the AI system to suspected individuals.,Adobe's automatic opt-in for content analysis without explicit user consent raises significant privacy concerns.,High,"The data stored, recorded, and produced are not easily accessible to concerned individuals.","Users do not have easy access to the data Adobe collects and processes, limiting their ability to manage their own content and privacy settings.",High,There are no mechanisms for the user to exercise control over the processing of personal data.,"Users lack control over how their data is processed, raising concerns about the security and unauthorized use of their creative content.",High,There are no measures to ensure the lawfulness of the processing of personal data.,"Adobe's content analysis practices may not comply with legal data protection standards, such as GDPR, raising potential legal risks.",High,There are no procedures to limit the access to personal data and to the extent and amount necessary for those purposes.,The lack of adequate procedures to restrict access to user data increases the risk of unauthorized access and misuse.,High,"There is no mechanism allowing to comply with the exercise of data subject’s rights (access, rectification and erasure of data relating to a specific individual).","Adobe does not provide clear mechanisms for users to exercise their rights to access, rectify, or erase their data.",High,"There are no security measures to ensure the confidentiality, integrity, and availability of personal data (e.g., encryption, anonymization, etc.).","The lack of security measures, such as encryption and anonymization, to protect user content increases the risk of unauthorized access and misuse.",High,There is no procedure to conduct a data protection impact assessment.,The failure to conduct a data protection impact assessment (DPIA) means that potential risks to data privacy and security were not adequately identified or mitigated.,High
fria-instance-gpt-8.ttl,Adobe Firefly AI art generator training,"Adobe's use of Adobe Stock content to train the Firefly AI art generator without explicit consent from contributors raises significant ethical, copyright, and employment concerns.","Adobe, Adobe Stock contributors, VentureBeat","Adobe's use of stock images to train the Firefly AI model has led to concerns about intellectual property rights, transparency, and the impact on artists' livelihoods.","Machine learning, pattern recognition, object recognition.","Generate video, images; Copyright; Employment; Ethics",2023-09-13,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/adobe-firefly-ai-art-generator,The AI system does not communicate that a decision/advice or outcome is the result of an algorithmic decision.,Adobe's lack of transparency about the algorithmic decisions made during the Firefly AI training has caused significant user distrust.,High,,,,,,,,,,,,,,,,The AI system targets members of a specific social group.,"The Firefly AI's use of stock images affects creative professionals, raising concerns about job security and potential displacement by AI-generated content.",High,,,,,,,There is no mechanism to limit the deployment of the AI system to suspected individuals.,Adobe's automatic use of stock images without explicit user consent raises significant privacy concerns.,High,"The data stored, recorded, and produced are not easily accessible to concerned individuals.","Users do not have easy access to the data Adobe collects and processes, limiting their ability to manage their own content and privacy settings.",High,There are no mechanisms for the user to exercise control over the processing of personal data.,"Users lack control over how their data is processed, raising concerns about the security and unauthorized use of their creative content.",High,There are no measures to ensure the lawfulness of the processing of personal data.,"Adobe's content analysis practices may not comply with legal data protection standards, such as GDPR, raising potential legal risks.",High,There are no procedures to limit the access to personal data and to the extent and amount necessary for those purposes.,The lack of adequate procedures to restrict access to user data increases the risk of unauthorized access and misuse.,High,"There is no mechanism allowing to comply with the exercise of data subject’s rights (access, rectification and erasure of data relating to a specific individual).","Adobe does not provide clear mechanisms for users to exercise their rights to access, rectify, or erase their data.",High,"There are no security measures to ensure the confidentiality, integrity, and availability of personal data (e.g., encryption, anonymization, etc.).","The lack of security measures, such as encryption and anonymization, to protect user content increases the risk of unauthorized access and misuse.",High,There is no procedure to conduct a data protection impact assessment.,The failure to conduct a data protection impact assessment (DPIA) means that potential risks to data privacy and security were not adequately identified or mitigated.,High
fria-instance-gpt-9.ttl,Adobe Sensei Project Morpheus,,Adobe,"Adobe has unveiled Project Morpheus, a prototype video version of the Neural Filters machine learning-based image-editing tools that the company released as part of Photoshop 22.0. Like Neural Filters, Morpheus enables users to alter someone's age and facial expressions, whilst adding the ability to change facial hair and glasses. The software raises concerns about the ease with which lifelike deepfake videos could be created to malign, undermine, or otherwise damage the interests or reputation of an individual, group, or society - a possibility Adobe confirmed to The Verge that it is aware of.","Project Morpheus uses deepfake technology, generative adversarial networks (GANs), neural networks, deep learning, and machine learning to manipulate video. It can change facial attributes such as age, expressions, facial hair, and glasses.",Manipulate video; Dual/multi-use,2021-10-28,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/adobe-sensei-project-morpheus,The AI system does not communicate that a decision/advice or outcome is the result of an algorithmic decision.,This is the evaluation content for FRIA-reportEvaluation11.,High,"The AI system does not provide percentages or other indication on the degree of likelihood that the outcome is correct/incorrect, prejudicing the user that there is no possibility of error and therefore that the outcome is undoubtedly incriminating.",This is the evaluation content for FRIA-reportEvaluation12.,Medium,,,,,,,,,,,,,The AI system targets members of a specific social group.,This is the evaluation content for FRIA-reportEvaluation21.,High,"There are no mechanisms to flag and correct issues related to bias, discrimination, or poor performance.",This is the evaluation content for FRIA-reportEvaluation22.,Medium,,,,There is no mechanism to limit the deployment of the AI system to suspected individuals.,This is the evaluation content for FRIA-reportEvaluation31.,High,"The data stored, recorded, and produced are not easily accessible to concerned individuals.",This is the evaluation content for FRIA-reportEvaluation32.,Medium,There are no mechanisms for the user to exercise control over the processing of personal data.,This is the evaluation content for FRIA-reportEvaluation41.,High,There are no measures to ensure the lawfulness of the processing of personal data.,This is the evaluation content for FRIA-reportEvaluation42.,Medium,There are no procedures to limit the access to personal data and to the extent and amount necessary for those purposes.,This is the evaluation content for FRIA-reportEvaluation43.,High,"There is no mechanism allowing to comply with the exercise of data subject’s rights (access, rectification and erasure of data relating to a specific individual).",This is the evaluation content for FRIA-reportEvaluation44.,High,"There are no specific measures in place to enhance the security of the processing of personal data (via encryption, anonymisation and aggregation).",This is the evaluation content for FRIA-reportEvaluation45.,High,There is no procedure to conduct a data protection impact assessment.,This is the evaluation content for FRIA-reportEvaluation46.,High
fria-instance-gpt-10.ttl,"Aespa virtual K-pop anthropomorphism, sexualisation",,SM Entertainment,"Korean entertainment company SM Entertainment has announced that Aespa, its latest K-pop girl group, will include human and virtual members that can 'interact and communicate as independent beings as they have AI brains. The announcement was met with a mixture of intrigue and excitement, tempered by concerns about the 'ownership' of young girls by fans and the potential for dehumanisation and sexualisation. Others raised the possibility of Aespa avatars being manipulated for pornography and other unethical uses.","Aespa uses deepfake technology, neural networks, and AI to create virtual avatars that interact with human members. These avatars can communicate and perform independently in a virtual world.",Create virtual avatars; Anthropomorphism; Dual/multi-use; Safety,2020-11-17,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/aespa-virtual-k-pop,The AI system does not communicate that a decision/advice or outcome is the result of an algorithmic decision.,This is the evaluation content for FRIA-reportEvaluation11.,High,"The AI system does not provide percentages or other indication on the degree of likelihood that the outcome is correct/incorrect, prejudicing the user that there is no possibility of error and therefore that the outcome is undoubtedly incriminating.",This is the evaluation content for FRIA-reportEvaluation12.,Medium,,,,,,,,,,,,,The AI system targets members of a specific social group.,This is the evaluation content for FRIA-reportEvaluation21.,High,"There are no mechanisms to flag and correct issues related to bias, discrimination, or poor performance.",This is the evaluation content for FRIA-reportEvaluation22.,Medium,,,,There is no mechanism to limit the deployment of the AI system to suspected individuals.,This is the evaluation content for FRIA-reportEvaluation31.,High,"The data stored, recorded, and produced are not easily accessible to concerned individuals.",This is the evaluation content for FRIA-reportEvaluation32.,Medium,There are no mechanisms for the user to exercise control over the processing of personal data.,This is the evaluation content for FRIA-reportEvaluation41.,High,There are no measures to ensure the lawfulness of the processing of personal data.,This is the evaluation content for FRIA-reportEvaluation42.,Medium,There are no procedures to limit the access to personal data and to the extent and amount necessary for those purposes.,This is the evaluation content for FRIA-reportEvaluation43.,High,"There is no mechanism allowing to comply with the exercise of data subject’s rights (access, rectification and erasure of data relating to a specific individual).",This is the evaluation content for FRIA-reportEvaluation44.,High,"There are no specific measures in place to enhance the security of the processing of personal data (via encryption, anonymisation and aggregation).",This is the evaluation content for FRIA-reportEvaluation45.,High,There is no procedure to conduct a data protection impact assessment.,This is the evaluation content for FRIA-reportEvaluation46.,High
