file_name,report_name,organisation_description,contributor_details,assessment_content,technology_description,purposes_description,report_date,aiaaic_link,challenge_11,evaluation_11,impact_level_11,challenge_12,evaluation_12,impact_level_12,challenge_13,evaluation_13,impact_level_13,challenge_14,evaluation_14,impact_level_14,challenge_15,evaluation_15,impact_level_15,challenge_16,evaluation_16,impact_level_16,challenge_21,evaluation_21,impact_level_21,challenge_22,evaluation_22,impact_level_22,challenge_23,evaluation_23,impact_level_23,challenge_31,evaluation_31,impact_level_31,challenge_32,evaluation_32,impact_level_32,challenge_41,evaluation_41,impact_level_41,challenge_42,evaluation_42,impact_level_42,challenge_43,evaluation_43,impact_level_43,challenge_44,evaluation_44,impact_level_44,challenge_45,evaluation_45,impact_level_45,challenge_46,evaluation_46,impact_level_46
fria-instance-gpt-1.ttl,1,0.5,1.0,1,1,1,1,1,1,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1.0,1.0,0,0.0,0.0,0,0.0,0.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
fria-instance-gpt-2.ttl,1,0.5,1.0,1,1,1,1,1,1,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1.0,1.0,1,1.0,1.0,0,0.0,0.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
fria-instance-gpt-3.ttl,1,0.5,1.0,1,1,1,1,1,1,1.0,1.0,1,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1.0,1.0,1,1.0,1.0,0,0.0,0.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
fria-instance-gpt-4.ttl,1,1.0,1.0,1,1,1,1,1,1,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1.0,1.0,0,0.0,0.0,0,0.0,0.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
fria-instance-gpt-5.ttl,1,1.0,1.0,1,1,1,1,1,1,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1.0,1.0,0,0.0,0.0,0,0.0,0.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
fria-instance-gpt-6.ttl,1,1.0,1.0,1,1,1,1,1,1,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1.0,1.0,0,0.0,0.0,0,0.0,0.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
fria-instance-gpt-7.ttl,1,1.0,1.0,1,1,1,1,1,1,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1.0,1.0,0,0.0,0.0,0,0.0,0.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
fria-instance-gpt-8.ttl,1,1.0,1.0,1,1,1,1,1,1,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1.0,1.0,0,0.0,0.0,0,0.0,0.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
fria-instance-gpt-9.ttl,1,0.5,1.0,1,1,1,1,1,1,0.5,1.0,1,0.5,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.5,1.0,1,0.5,1.0,0,0.0,0.0,1,0.5,1.0,1,0.5,1.0,1,0.5,1.0,1,0.5,1.0,1,0.5,1.0,1,0.5,1.0,1,0.5,1.0,1,0.5,1.0
fria-instance-gpt-10.ttl,1,0.5,1.0,1,1,1,1,1,1,0.5,1.0,1,0.5,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.5,1.0,1,0.5,1.0,0,0.0,0.0,1,0.5,1.0,1,0.5,1.0,1,0.5,1.0,1,0.5,1.0,1,0.5,1.0,1,0.5,1.0,1,0.5,1.0,1,0.5,1.0
fria-instance-gpt-11.ttl,1,0.5,1.0,1,1,1,1,1,1,0.5,1.0,1,0.5,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.5,1.0,1,0.5,1.0,0,0.0,0.0,1,0.5,1.0,1,0.5,1.0,1,0.5,1.0,1,0.5,1.0,1,0.5,1.0,1,0.5,1.0,1,0.5,1.0,1,0.5,1.0
fria-instance-gpt-12.ttl,1,0.5,1.0,1,1,1,1,1,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
fria-instance-gpt-13.ttl,1,0.5,1.0,1,1,1,1,1,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
fria-instance-gpt-14.ttl,1,1.0,1.0,1,1,1,1,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
fria-instance-gpt-15.ttl,1,0.5,1.0,1,1,1,1,1,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
fria-instance-gpt-16.ttl,1,0.5,1.0,1,1,1,1,1,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
fria-instance-gpt-17.ttl,1,0.5,1.0,1,1,1,1,1,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
fria-instance-gpt-18.ttl,1,0.5,1.0,1,1,1,1,1,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
fria-instance-gpt-19.ttl,1,1.0,1.0,1,1,1,1,1,1,1.0,1.0,1,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
fria-instance-gpt-20.ttl,1,0.5,1.0,1,1,1,1,1,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
fria-instance-gpt-21.ttl,1,0.5,1.0,1,1,1,1,1,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
fria-instance-gpt-22.ttl,1,0.5,1.0,1,1,1,1,1,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
